,subject,subject_age,Did this strategy change throughout the task?,How did you listen to the task?,"If you have had musical training, how old were you during this period (i.e., age-range)?",What is your first language?,Did you notice any change in the music? Elaborate,How did you arrive at this experiment?,What is your first language (if other)?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?",subject_gender,How did your strategy change throughout the task?,Would you consider yourself a musical person? (0-10),How many years of formal musical training do you have?,Do you play any instruments (with or without formal training)?,Which instruments do you play (if any)?,I understood the instructions of the task,I found the task difficult,What general strategy (if any) did you use to judge the similarity across the melodies?,RecordedDate,sona
0,ATONB0002,,No,Speaker,,Other (please specify below):,,SONA for course credit,Chinese,No,Male,,3,0,"Yes, but not so well",Guitar,Agree,Agree,Nope,2024-12-04 15:59:52,47989
1,ATONB0003,18,No,Earphones in my left ear. Airpod pros,11,Other (please specify below):,,SONA for course credit,Mandarin,No,Female,,4,1,"Yes, but not so well",Guitar,Agree,Agree,,2024-12-04 23:08:50,47912
2,ATONB0004,20,No,Over the ear Airpod Max,,English,,SONA for course credit,,No,Female,,8,0,No,,Strongly Agree,Neither Agree nor Disagree,High vs low notes,2024-12-04 15:53:05,47494
3,ATONB0005,18,No,"Headphones, in the ear, AirPods Pro",9-11,English,,SONA for course credit,,No,Female,,2,2-3,No,,Strongly Disagree,Neither Agree nor Disagree,I tried to listen for differences in notes.,2024-12-04 16:35:59,47507
4,ATONB0006,20,Yes,I used earphones (in-ear),,Spanish,,SONA for course credit,,No,Female,When there would be lower notes i tapped my laptop every time it got lower.,3,0,No,,Strongly Agree,Neither Agree nor Disagree,I tapped my laptop every time there would be a high note,2024-12-11 16:38:58,47965
5,ATONB0007,20,Yes,Airpods pro,8-13 and a little at 17,English,"Sometimes a particular sour note, a timing difference, or a key change.",SONA for course credit,,Yes,Female,Oh maybe 4. I'm not sure though.,4,4-5,"Yes, but not so well",guitar/piano,Agree,Agree,tried to visualize piano but didn't know it well enough so it was mostly about the patterns.,2024-12-04 16:36:06,46066
6,ATONB0009,20,No,in-ear,,Other (please specify below):,,SONA for course credit,Chinese,No,Female,,3,0,No,,Agree,Agree,memory?,2024-12-04 16:46:00,48222
7,ATONB0010,19,No,HEADPHONES,senior year,English,,SONA for course credit,,No,Female,,7,2-3,"Yes, but not so well",percussion,Strongly Agree,Strongly Agree,,2024-12-04 19:19:15,48221
8,ATONB0011,19,No,headphones,,English,,SONA for course credit,,No,Female,,3,0,No,,Agree,Neither Agree nor Disagree,,2024-12-04 17:22:47,47874
9,ATONB0015,20,No,Yes,5-10,English,,SONA for course credit,,No,Male,,7,2-3,"Yes, but not so well",Saxphone,Agree,Neither Agree nor Disagree,No,2024-12-04 17:51:16,47984
10,ATONB0016,19,No,monitors,10,English,,SONA for course credit,,No,Male,,5,2-3,No,piano,Agree,Disagree,listening,2024-12-04 22:09:07,48172
11,ATONB0017,21,No,over the ear headphones,11-16,English,pitches that repeated themselves,SONA for course credit,,Yes,Male,,6,4-5,No,,Strongly Agree,Agree,listen for errant pitches,2024-12-04 19:08:42,47851
12,ATONB0018,19,No,headphones,7-18,English,,SONA for course credit,,No,Female,,7,9+,"Yes, I do alright",cello,Agree,Agree,,2024-12-04 18:07:12,47571
13,ATONB0020,20,No,Out loud,12-14 and 8-10 and 16-17,English,,SONA for course credit,,No,Female,,7,2-3,"Yes, but not so well","Violin, Piano",Strongly Agree,Strongly Disagree,not sure,2024-12-04 18:51:03,45803
14,ATONB0022,22,No,headphones,8-10,English,,SONA for course credit,,No,Male,,7,2-3,"Yes, but not so well","piano, violen",Agree,Neither Agree nor Disagree,just following the notes,2024-12-04 18:45:32,47770
15,ATONB0023,22,No,"Headphone, in ear ",8-14,Other (please specify below):,The tone/pitch ,SONA for course credit,Chinese,Yes,Male,,2,4-5,"Yes, but not so well","piano, clarinet ",Agree,Strongly Agree,based on the tempo and the height of the sound ,2024-12-04 18:52:07,48007
16,ATONB0026,19,No,headphones,4-19,Other (please specify below):,,SONA for course credit,Chinese,No,Male,,10,9+,"Yes, I am a professional",Piano ,Neither Agree nor Disagree,Neither Agree nor Disagree,can not explain,2024-12-04 20:25:49,48015
17,ATONB0027,22,No,,15,English,,SONA for course credit,,No,Female,,3,2-3,No,,Strongly Agree,Neither Agree nor Disagree,,2024-12-10 17:39:20,46701
18,ATONB0028,20,No,over-the-ear JBL headphones ,,English,the pitches of certain notes were off ,SONA for course credit,,Yes,Female,,5,0,No,,Strongly Agree,Strongly Agree,trying not to focus on the test melody but rather listen freely and see which option felt off. ,2024-12-04 19:38:15,48032
19,ATONB0035,20,No,in-ear,6-16,Other (please specify below):,,SONA for course credit,Chinese,No,Female,,2,2-3,"Yes, I do alright",piano flute,Strongly Agree,Agree,2,2024-12-04 20:28:17,47511
20,ATONB0036,19,No,in ear headphones (AirPods) with noise canceling ,,Spanish,if it was in high or low keys ,SONA for course credit,,Yes,Female,,0,0,"Yes, but not so well",piano,Strongly Agree,Strongly Disagree,the tone of the notes ,2024-12-04 21:26:59,47602
21,ATONB0037,20,No,"Headphones, in ear (wired apple earbuds)",5-18,English,I rated ones with shifted intervals as more different than ones with one particular wrong note,SONA for course credit,,Yes,Male,,8,9+,"Yes, I am near professional",Piano ,Agree,Disagree,"Specific different notes, or different patterns",2024-12-05 02:03:08,48179
22,ATONB0039,19,No,in-ear headphones,9-14,Other (please specify below):,When there is a big jump,SONA for course credit,Mandarin,Yes,Female,,4,4-5,"Yes, I do alright",piano,Strongly Agree,Agree,,2024-12-04 23:37:46,47918
23,ATONB0041,19,No,in ear,,English,,SONA for course credit,,No,Male,,1,0,No,,Strongly Agree,Neither Agree nor Disagree,nothing really,2024-12-04 21:32:39,48042
24,ATONB0042,20,No,in-ear (airpods),3-5 years old,Other (please specify below):,I based similarity on similar tones and difference on different notes,SONA for course credit,Mandarin,Yes,Female,,3,1,"Yes, but not so well",Piano,Strongly Agree,Disagree,Tone or any notes that trails off,2024-12-04 21:50:45,48017
25,ATONB0048,20,No,earphone,4,Other (please specify below):,note changes,SONA for course credit,Chinese,Yes,Female,,5,6-8,"Yes, but not so well",piano,Agree,Neither Agree nor Disagree,note,2024-12-05 14:28:20,47556
